ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
The Hong Kong and China Gas Company Limited (SEHK:3),4157456,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,2.17,2.93,2.79,4.72,5.85,"105,988.06",9.81,11.15,9.33,7.73,8.06,9.81,78.85,98.49,123.38,121.86,NA,13.41,13.80,2.96,13.84,11.03,(20.32),11.14,12.14,8.95,12.28,7.42,(39.58),7.53,5.98,(20.58),,,,2.17,2.96,,78.85,2.96
The United Laboratories International Holdings Limited (SEHK:3933),4810869,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products; Anti-infective Drugs; Cardiovascular Drugs; Oncology Drugs; Antibiotics; Antiviral Drugs; Central Nervous System Drugs; Vaccines; Veterinary Drugs",1.20,1.39,2.22,3.06,4.05,"17,552.48",23.13,10.03,9.17,11.03,15.85,23.13,15.33,18.23,22.35,17.24,NA,4.05,5.68,40.25,5.62,5.50,(2.14),5.34,4.36,(18.35),4.57,4.90,7.22,5.14,7.01,36.38,,,,1.20,40.25,,15.33,40.25
The Wharf (Holdings) Limited (SEHK:4),4210707,SEHK,Real Estate; Diversified Real Estate Activities; Real Estate Management and Development; Real Estate Management and Development,3.28,1.32,1.67,1.74,1.59,"75,789.48",0.73,2.43,3.09,3.84,(0.89),0.73,29.28,31.50,20.30,NA,NA,19.98,19.82,(0.80),19.98,20.85,4.35,20.15,23.95,18.86,23.55,22.95,(2.55),23.15,25.15,8.64,,,,3.28,-0.80,,29.28,-0.80
Tian An China Investments Company Limited (SEHK:28),4147698,SEHK,"Real Estate; Real Estate Management and Development; Real Estate Development; Land Sub Dividers And Developers; Real Estate Management and Development; Land Sub Dividers and Developers, except Cemetery",5.76,4.32,4.63,5.05,7.10,"5,805.64",4.64,5.33,2.16,5.06,5.57,4.64,22.39,48.56,20.98,19.18,NA,4.09,3.47,(15.16),3.48,4.63,33.05,4.64,4.32,(6.90),4.30,3.96,(7.91),3.94,3.52,(10.66),,,,5.76,-15.16,,22.39,-15.16
Tianli International Holdings Limited (SEHK:1773),10797280,SEHK,Consumer Discretionary; Consumer Services; Diversified Consumer Services; Education Services; Schools; Elementary and Secondary Schools; Specialty Educational Services; Child Day Care Services; Exam Preparation and Tutoring,1.05,0.50,4.03,1.23,1.65,"8,633.32",16.66,11.29,0.39,NA,5.25,16.66,22.39,20.50,NM,85.03,30.45,1.40,3.10,121.43,3.10,8.16,163.23,8.51,1.91,(77.56),1.91,2.02,5.76,2.63,3.23,22.81,,,,1.05,121.43,,22.39,121.43
Tianneng Power International Limited (SEHK:819),4912383,SEHK,Consumer Discretionary; Automobiles and Components; Automobile Components; Automotive Parts and Equipment,6.41,2.09,4.85,4.85,6.07,"6,925.67",10.31,27.23,29.91,12.49,12.78,10.31,22.37,16.32,28.83,15.70,27.98,6.59,5.93,(10.02),6.16,18.70,203.57,19.58,8.25,(57.87),8.23,8.24,0.12,8.57,6.59,(23.10),,,,6.41,-10.02,,22.37,-10.02
Tingyi (Cayman Islands) Holding Corp. (SEHK:322),4298555,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Coffee And Tea; Coffee; Tea; Meats, Meat Processing And Meat Related Products; Meat Products; Snack Food; Food Products; Packaged Foods and Meats; Bread and Bakery Products; Prepared and Preserved Foods",1.89,2.48,5.36,3.02,2.70,"46,765.16",20.66,15.94,19.14,18.60,15.68,20.66,37.63,41.00,53.42,77.92,NA,10.24,13.30,29.88,13.22,13.24,0.15,13.22,16.02,21.18,15.80,13.78,(12.78),14.02,9.52,(32.10),,,,1.89,29.88,,37.63,29.88
Tong Ren Tang Technologies Co. Ltd. (SEHK:1666),4280194,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products; Pharmaceuticals",2.67,3.61,2.32,3.31,2.68,"6,198.99",10.63,10.09,10.37,10.90,11.66,10.63,55.20,43.83,40.40,35.16,NA,10.16,7.66,(24.61),7.87,4.85,(38.37),4.94,8.38,69.64,9.17,5.65,(38.39),5.81,6.55,12.74,,,,2.67,-24.61,,55.20,-24.61
Topsports International Holdings Limited (SEHK:6110),15403780,SEHK,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Specialty Retail; Online Apparel and Accessory Retail; Apparel Retail,1.39,1.83,3.80,3.53,3.68,"32,184.34",17.99,76.78,36.88,27.36,24.12,17.99,NA,32.30,42.53,63.37,67.53,NA,9.42,#VALUE!,9.10,11.60,27.47,12.06,7.89,(34.58),7.71,6.19,(19.71),6.36,6.08,(4.40),,,,1.39,#VALUE!,,NA,#VALUE!
Towngas Smart Energy Company Limited (SEHK:1083),5001473,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,2.78,4.29,2.21,3.83,4.62,"10,045.88",7.38,7.95,7.67,6.39,4.90,7.38,5.73,5.02,5.47,12.68,NA,5.65,5.40,(4.42),5.44,3.50,(35.66),3.45,6.78,96.52,6.93,3.92,(43.43),3.89,3.25,(16.45),,,,2.78,-4.42,,5.73,-4.42
TravelSky Technology Limited (SEHK:696),4967716,SEHK,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Hotels, Resorts and Cruise Lines; Travel and Tourism Services; Travel Agencies",1.61,1.69,0.15,0.39,0.43,"26,365.15",7.10,14.10,2.17,3.22,3.49,7.10,34.29,231.85,10.68,26.13,NA,19.98,19.02,(4.80),19.08,18.70,(1.99),19.26,13.12,(31.88),13.14,16.50,25.57,17.26,13.50,(21.78),,,,1.61,-4.80,,34.29,-4.80
Tsim Sha Tsui Properties Limited (SEHK:247),4213727,SEHK,Real Estate Management and Development; Real Estate Development; Real Estate Management and Development; Real Estate,2.18,2.25,2.32,2.62,3.19,"37,467.17",3.66,4.91,1.15,6.95,3.78,3.66,0.17,0.64,0.11,0.17,0.21,25.50,25.20,(1.18),25.20,24.45,(2.98),24.00,23.70,(1.25),23.60,21.78,(7.71),21.75,18.20,(16.32),,,,2.18,-1.18,,0.17,-1.18
Tsingtao Brewery Company Limited (SEHK:168),4913406,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Beverages; Brewers; Beer, Ale and Malt Beverages",1.03,0.73,1.23,1.67,2.73,"92,178.73",15.95,10.00,11.27,14.42,15.20,15.95,35.43,33.83,33.07,40.73,58.06,30.90,52.35,69.42,52.00,81.20,56.15,85.05,73.00,(14.17),70.85,77.10,8.82,78.10,52.40,(32.91),,,,1.03,69.42,,35.43,69.42
Uni-President China Holdings Ltd (SEHK:220),4912241,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Coffee And Tea; Tea; Dairy Products and Eggs; Dairy Products; Prepared and Preserved Foods; Seasonings and Preservatives; Coffee",3.35,4.38,6.00,6.27,6.77,"24,879.36",12.55,10.18,11.82,10.85,9.07,12.55,76.62,84.21,108.10,147.88,NA,6.75,8.18,21.19,8.26,7.89,(4.48),7.85,7.56,(3.69),7.55,7.81,3.44,7.92,5.55,(29.92),,,,3.35,21.19,,76.62,21.19
Vitasoy International Holdings Limited (SEHK:345),4912945,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Dairy Products; Coffee And Tea; Tea; Dairy Products and Eggs",1.48,1.07,1.84,0.08,0.36,"5,725.43",0.63,22.53,16.54,15.99,(4.29),0.63,53.68,82.94,62.48,NM,30.39,29.00,28.25,(2.59),28.10,30.20,7.47,31.45,15.74,(49.95),16.06,16.06,0.00,16.16,7.78,(51.86),,,,1.48,-2.59,,53.68,-2.59
VSTECS Holdings Limited (SEHK:856),4968208,SEHK,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Technology Distributors; Communications Equipment Distribution; Software Distribution; Technology Hardware and Equipment Distribution",3.80,2.63,3.01,6.00,3.86,"6,767.75",11.61,15.14,17.11,17.83,10.57,11.61,27.27,22.71,24.36,47.74,NA,3.82,4.00,4.71,3.98,6.36,59.80,6.85,7.31,6.72,7.10,4.50,(36.62),4.58,4.40,(3.93),,,,3.80,4.71,,27.27,4.71
Vtech Holdings Limited (SEHK:303),4966019,SEHK,Information Technology; Technology Hardware and Equipment; Communications Equipment; Communications Equipment; Telephone and Telecommunications Equipment; Telephone Equipment; Teleconferencing Equipment; Wireline Telephone Equipment; Cordless Telephones,6.80,6.83,11.59,10.59,9.78,"10,987.29",22.72,27.33,31.56,34.65,24.50,22.72,117.51,88.46,57.86,133.00,115.15,64.50,77.00,19.38,76.65,60.15,(21.53),61.20,61.05,(0.25),61.65,50.30,(18.41),51.00,47.15,(7.55),,,,6.80,19.38,,117.51,19.38
"Weichai Power Co., Ltd. (SEHK:2338)",4996039,SEHK,Industrials; Capital Goods; Machinery; Construction Machinery and Heavy Transportation Equipment; Heavy Duty Trucks; Industrial Trucks and Trailers,2.95,2.10,3.29,3.12,3.21,"164,028.96",10.34,18.04,15.01,13.09,5.42,10.34,44.69,32.56,53.30,89.59,52.73,8.73,16.44,88.32,17.30,15.56,(10.06),16.18,15.26,(5.69),15.62,10.48,(32.91),10.74,13.04,21.42,,,,2.95,88.32,,44.69,88.32
WH Group Limited (SEHK:288),4913418,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Prepared and Preserved Foods; Frozen Foods; Meats, Meat Processing And Meat Related Products; Livestock And Animal Specialties; Meat Processing; Meat Slaughtering; Meat Products; Poultry And Poultry Products; Poultry Processing; Poultry Slaughtering",2.48,4.85,3.58,4.19,5.95,"75,803.53",8.20,18.97,10.69,12.56,16.42,8.20,25.60,72.34,31.09,22.70,NA,5.79,8.05,39.03,8.26,6.50,(21.31),6.72,4.89,(27.23),4.93,4.54,(7.91),4.66,5.04,8.15,,,,2.48,39.03,,25.60,39.03
Wharf Real Estate Investment Company Limited (SEHK:1997),7529237,SEHK,Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Management and Development; Real Estate Operators And Lessors; Nonresidential Building Operators and Lessors; Office Building Operators and Lessors; Shopping Mall Operators and Lessors,4.52,4.24,3.43,2.95,4.85,"68,922.36",2.38,1.79,(3.78),2.11,(4.41),2.38,157.36,NM,90.34,NM,81.53,45.90,47.55,3.59,46.90,40.35,(13.97),41.05,39.60,(3.53),38.90,45.50,16.97,46.45,26.40,(43.16),,,,4.52,3.59,,157.36,3.59
"Xinhua Winshare Publishing and Media Co., Ltd. (SEHK:811)",4331835,SEHK,Media and Entertainment; Media; Publishing; Printed Media Publishing; Book Publishing; Newspaper and Magazine Publishing; Newspaper Publishing; Periodical Publishing; Published Electronic Materials; Communication Services,5.87,6.86,6.32,7.05,5.54,"16,112.27",12.49,12.83,12.98,12.33,11.71,12.49,32.50,29.31,29.29,28.27,26.61,4.85,5.86,20.82,5.90,4.78,(18.98),4.79,5.91,23.38,5.86,5.27,(10.07),5.32,6.95,30.64,,,,5.87,20.82,,32.50,20.82
Xinyi Energy Holdings Limited (SEHK:3868),6317710,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Renewable Electricity; Electric Power By Solar Energy,2.45,2.76,3.72,6.83,7.55,"8,586.85",7.94,10.75,8.31,10.05,8.01,7.94,73.35,106.19,91.74,88.25,NA,NA,2.04,#VALUE!,2.13,5.26,146.95,5.46,4.27,(21.79),4.35,2.59,(40.46),2.66,1.43,(46.24),,,,2.45,#VALUE!,,73.35,#VALUE!
Xinyi Glass Holdings Limited (SEHK:868),4911707,SEHK,Industrials; Capital Goods; Building Products; Building Products,5.04,2.17,6.56,7.98,5.48,"33,923.03",15.83,22.62,26.30,36.92,15.40,15.83,46.54,29.46,44.83,71.25,NA,8.52,10.32,21.13,10.34,21.65,109.38,22.40,19.50,(12.95),19.34,14.54,(24.82),14.92,8.76,(41.29),,,,5.04,21.13,,46.54,21.13
Xinyi Solar Holdings Limited (SEHK:968),4972454,SEHK,Information Technology; Semiconductors and Semiconductor Equipment; Semiconductors and Semiconductor Equipment; Semiconductor Materials and Equipment,1.75,0.84,2.57,2.31,3.84,"49,895.38",12.86,18.27,19.86,16.43,12.22,12.86,26.47,9.73,41.19,46.57,NA,2.69,5.53,105.58,5.74,20.25,252.79,20.65,13.22,(35.98),13.20,8.64,(34.55),8.91,4.56,(48.82),,,,1.75,105.58,,26.47,105.58
Xtep International Holdings Limited (SEHK:1368),4912870,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Footwear; Athletic Footwear",5.31,3.62,1.46,3.05,4.72,"11,008.03",11.99,11.90,7.08,11.64,11.20,11.99,59.98,54.40,39.24,59.71,45.51,4.31,4.14,(3.94),4.13,3.87,(6.30),3.84,13.00,238.54,12.96,8.69,(32.95),8.70,4.41,(49.31),,,,5.31,-3.94,,59.98,-3.94
Yangtze Optical Fibre And Cable Joint Stock Limited Company (SEHK:6869),4967958,SEHK,Information Technology; Technology Hardware and Equipment; Communications Equipment; Communications Equipment; Networking Equipment; Optical Networking Equipment,3.66,3.36,2.02,2.37,6.00,"14,607.12",8.14,9.06,5.94,7.22,9.25,8.14,32.15,51.31,35.85,31.69,44.44,20.75,15.48,(25.40),15.98,10.36,(35.17),10.52,12.94,23.00,13.28,13.90,4.67,13.94,8.36,(40.03),,,,3.66,-25.40,,32.15,-25.40
Yankuang Energy Group Company Limited (SEHK:1171),4157535,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Coal and Consumable Fuels; Coal Products",8.78,10.23,4.69,7.88,14.99,"175,659.60",20.37,13.51,7.14,20.86,37.91,20.37,63.47,118.68,65.82,56.30,127.37,4.06,4.67,14.94,4.74,4.13,(12.80),4.14,10.33,149.60,10.84,15.87,46.37,15.87,14.84,(6.47),,,,8.78,14.94,,63.47,14.94
Yihai International Holding Ltd. (SEHK:1579),4913296,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Prepared and Preserved Foods; Prepared Soups and Stews; Snack Food; Seasonings and Preservatives; Herbs, Spices and Extracts; Sauces And Salad Dressings",0.38,0.20,0.84,0.98,1.63,"14,610.19",18.85,33.35,31.49,22.50,18.88,18.85,20.68,23.01,31.78,30.26,NA,18.46,45.70,147.56,47.25,115.00,143.39,117.50,36.05,(69.32),34.40,27.60,(19.77),28.35,12.40,(56.26),,,,0.38,147.56,,20.68,147.56
Yuexiu Property Company Limited (SEHK:123),4270336,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,5.78,6.79,9.33,6.85,8.47,"14,410.91",4.89,9.64,7.84,7.61,7.71,4.89,37.97,37.78,46.29,45.75,41.23,7.05,9.00,27.66,9.15,7.80,(14.75),7.60,6.87,(9.61),6.83,9.45,38.36,9.78,6.36,(34.97),,,,5.78,27.66,,37.97,27.66
"Zhejiang Expressway Co., Ltd. (SEHK:576)",4995062,SEHK,Industrials; Transportation; Transportation Infrastructure; Highways and Railtracks,6.01,5.93,6.08,7.31,8.18,"30,027.43",12.07,13.60,9.79,15.46,13.45,12.07,43.85,63.72,32.20,31.52,31.45,6.73,7.10,5.50,7.22,6.55,(9.28),6.54,6.95,6.27,6.87,6.01,(12.52),6.14,5.21,(15.15),,,,6.01,5.50,,43.85,5.50
Zhongsheng Group Holdings Limited (SEHK:881),4914761,SEHK,"Consumer Discretionary; Consumer Discretionary Distribution and Retail; Specialty Retail; Automotive Retail; Motor Vehicle Parts, Accessories, and Related Retail Services; Motor Vehicle Parts and Supply Stores; Motor Vehicle Retail; Motor Vehicle Dealers (New)",1.16,0.81,0.95,2.09,5.84,"30,059.42",11.07,21.93,22.75,24.88,15.60,11.07,16.41,16.84,13.36,25.92,NA,15.14,31.90,110.70,31.75,55.25,74.02,55.10,60.80,10.34,59.75,40.15,(32.80),41.65,18.68,(55.15),,,,1.16,110.70,,16.41,110.70
"Zhuzhou CRRC Times Electric Co., Ltd. (SEHK:3898)",4991073,SEHK,Industrials; Capital Goods; Machinery; Construction Machinery and Heavy Transportation Equipment; Railroad Equipment,1.81,1.46,1.21,2.77,2.70,"63,766.98",8.63,12.56,10.75,7.07,7.56,8.63,20.70,21.60,32.71,25.31,26.06,43.75,28.20,(35.54),29.65,33.80,14.00,36.55,45.15,23.53,47.25,38.75,(17.99),38.65,22.30,(42.30),,,,1.81,-35.54,,20.70,-35.54
Zijin Mining Group Company Limited (SEHK:2899),4355642,SEHK,Materials; Metals and Mining; Materials; Gold; Gold Ores,2.93,1.25,1.56,2.20,1.31,"501,479.95",20.20,9.70,12.85,23.40,22.79,20.20,108.63,72.24,32.68,42.94,57.26,2.82,3.88,37.59,4.00,8.78,119.50,9.50,9.28,(2.32),9.28,10.58,14.01,11.24,12.72,13.17,,,,2.93,37.59,,108.63,37.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,-18.16,,32.17,-18.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,12.16,,36.44,12.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,46.30,,24.01,46.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,-20.34,,31.00,-20.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,-1.49,,54.66,-1.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,75.32,,27.20,75.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,-10.03,,35.30,-10.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,51.97,,41.49,51.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,-35.21,,72.68,-35.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.90,-21.36,,32.70,-21.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,2.32,,28.89,2.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,-26.92,,32.21,-26.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,-26.93,,44.79,-26.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,-29.92,,27.21,-29.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,-21.41,,37.44,-21.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,85.40,,25.49,85.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,-32.98,,35.49,-32.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,-14.54,,48.34,-14.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,-13.12,,47.13,-13.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,40.57,,71.72,40.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,416.39,,85.76,416.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,160.26,,2.94,160.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,-7.52,,18.06,-7.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,-10.64,,0.00,-10.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,-20.85,,133.22,-20.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,-11.35,,NM,-11.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74,-37.24,,47.00,-37.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,-18.78,,37.79,-18.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,-30.44,,29.91,-30.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,-26.27,,112.56,-26.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60,-48.78,,142.15,-48.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,-39.68,,30.03,-39.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,6.50,,13.85,6.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,-13.38,,31.00,-13.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,54.43,,18.39,54.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,-17.86,,37.91,-17.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,47.05,,64.87,47.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,-19.35,,159.37,-19.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,-30.14,,27.57,-30.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,-15.89,,24.51,-15.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60,2.97,,22.59,2.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,5.30,,26.13,5.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,47.00,,35.90,47.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,-22.27,,36.56,-22.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,-16.56,,64.28,-16.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,53.86,,17.21,53.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,-22.12,,32.96,-22.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,46.71,,20.05,46.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01,-28.75,,14.26,-28.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,-32.36,,55.38,-32.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,3.56,,29.15,3.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,20.88,,9.83,20.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,-45.87,,28.24,-45.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,-24.09,,18.79,-24.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,-45.08,,25.53,-45.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,-19.04,,23.48,-19.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,-26.17,,69.51,-26.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59,-1.78,,74.46,-1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,-39.85,,30.95,-39.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,68.00,,26.79,68.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,-15.59,,47.54,-15.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,-2.94,,38.31,-2.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,-18.78,,30.10,-18.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,-45.78,,20.96,-45.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,-24.09,,39.45,-24.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,7.39,,15.84,7.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,-11.84,,69.91,-11.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,-27.76,,58.83,-27.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,-39.29,,32.02,-39.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,5.31,,119.97,5.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,-30.79,,21.95,-30.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,-32.81,,44.42,-32.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,-33.72,,39.84,-33.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,-39.21,,43.60,-39.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,3.41,,29.35,3.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,4.17,,26.96,4.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,-21.78,,30.61,-21.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,-11.65,,37.33,-11.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,29.14,,110.31,29.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,-3.13,,62.83,-3.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,-47.31,,19.78,-47.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.20,-13.78,,71.65,-13.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,-28.87,,NA,-28.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,-24.75,,95.55,-24.75
